id,publish,name,link,cloudfront_image,image,image_width,image_id,type,city,description,takeaway_text,takeaway_link,delivery_information,delivery_link,Real time delivery,opening_days,opening_hours,delivery_radius,prepared_food,voucher_text,voucher_link,flourish_link,instagram_link,Instagram_followers,phone_number,Email address,regular_menu_available,vegan_options,alcohol_available,groceries_available,meal_kits_available,nhs_donations_available,nhs_donations_link,full_address,postcode,area,city_region,last_updated_manually,last contacted,appendix_info,,,Am/Pm,opening_hours,,Delivery radius,Multiple locations,NHS Discount,menu link,voucher_available,delivery_available,takeaway_available,,,,
0,yes,Forest Road Brewing Co.,https://www.forestroad.co.uk/,https://dw96cc912fm1e.cloudfront.net/3b6f635e-67a5-4001-99e5-7bbb916914f4.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/bnqvoknaehvh8wsoae0f.jpg",400,bnqvoknaehvh8wsoae0f,Brewery,London,,n/a,n/a,Whatsapp them directly at 07507096874 to place delivery orders. London delivery takes 2 - 3 working days,https://www.forestroad.co.uk/,FALSE,Sun - Wed; Thurs - Sat,1200 - 1700; 1200 - 1900,London,FALSE,n/a,n/a,https://letsflourish.co/collections/forest-road-brewing-co,https://www.instagram.com/forestroadbrew,7090,020 7249 7033,,TRUE,,TRUE,FALSE,,,,"8 Netil Ln, Hackney, London E8 3RL",E8 3RL ,London Fields,East London,,28/03/2020,"Since we brewed the first 60 litre batch of beer in an east London garden in the summer of 2015, we’ve always had one mission in mind: make the beer market a better place for quality & consistent beer, ….And have fun while doing it. Our brewers take pride in using traditional brewing practices and raw materials from mother earth to make consistent and drinkable beers. Thats it. We make beer for drinking, not for thinking.",,,,,,,,,,FALSE,TRUE,FALSE,Restaurant count,129,,TRUE
1,yes,Flour and Flowers,http://flourandflowers.uk/,https://dw96cc912fm1e.cloudfront.net/44346940-deac-4b0e-9c24-8532ca67c538.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/xxt6lttil1vx0w2syphh.jpg,400,xxt6lttil1vx0w2syphh,Bakery,London,New bakery in Hackney nestled in the quiet of a flower garden. Deliveries and takeaways from Monday - Friday,,https://www.instagram.com/flourandflowers/?hl=en,Whatsapp them on +44 7477462072 to place delivery orders,https://www.instagram.com/flourandflowers/?hl=en,FALSE,Mon - Fri; Sat - Sun,0730 - 1800; 0900 - 1800,,TRUE,n/a,n/a,https://letsflourish.co/collections/flour-flowers,https://www.instagram.com/flourandflowers,197,02076133673,,TRUE,,FALSE,FALSE,,,,"8 Hackney Rd, London E2 7NS",E2 7NS,Hackney,East London,,28/03/2020,"Flour and Flowers is a coffee shop nestled in the quiet of a flower garden, it’s a place where you can go for a picnic with a friend, or read a good book surrounded by flowers and the smell of freshly baked pastries.",,,,,,,,,http://flourandflowers.uk/our-menu/,FALSE,TRUE,TRUE,,,,
2,no,Dusty Knuckle Bakery,https://www.thedustyknuckle.com,https://dw96cc912fm1e.cloudfront.net/5e01b509-ae09-4b7a-a361-336d32067e8a.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/trgemjpwttae2esmntmf.jpg,400,trgemjpwttae2esmntmf,Bakery,London,"One of Dalston's most popular bakery spots. Now serving bread, pastry and filter coffee between 9am - 12pm each day","Takeaway is avaiable for bread, milk, coffee but no hot meals",https://www.instagram.com/p/B-IEsXuHTyP/,n/a,n/a,,,,,,n/a,n/a,n/a,https://www.instagram.com/thedustyknuckle,,02039037598,,FALSE,,FALSE,TRUE,,,,"Abbot St, Dalston, London E8 3DP",E8 3DP,Dalston,East London,28/03/2020,,"We were born in a 40 ft steel freight container. Humble beginnings, with big dreams. Dusty knuckle co-founder Max Tobias had spent years working with young people caught up in serious youth violence, and had been quietly nurturing a lifelong obsession with bread-making.",,,,,,,,,,FALSE,FALSE,TRUE,,,,
3,yes,Lardo,http://www.lardo.co.uk/,https://dw96cc912fm1e.cloudfront.net/e78a42fa-e611-4a63-b331-299d89140462.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/Lardo_vpwvix.jpg,400,Lardo_vpwvix,Restaurant,London,Hearty Italian eatery nestled by London Fields.  They're currently closed but you can buy a dinner for two voucher (including a free bottle of wine) or donate direct to their staff via the link below,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,,FALSE,Buy dinner for two (including a free bottle of wine) for £50 or donate direct to a member of staff,http://www.lardo.co.uk/,n/a,https://www.instagram.com/lardolondon/?hl=en,5624,2089852683,,FALSE,,FALSE,FALSE,,,,"197-201 Richmond Rd, Hackney, London E8 3NJ",E8 3NJ,London Fields,East London,,28/03/2020,"When we opened LARDO in 2012, our goal wasn’t complicated: authentic food, cooked simply, and eaten well. One of the key principles we wanted to convey was a sense of place, where we integrated ourselves into the fabric of the local neighbourhood. We wanted our customers to feel a sense of ownership, a belonging, that LARDO was theirs, a second home. We wanted it to feel as if it had been there forever, we wanted it to have life – energy and heart.",,,,,,,,,,TRUE,FALSE,FALSE,,,,
4,yes,Crate Brewery,https://cratebrewery.com/,https://dw96cc912fm1e.cloudfront.net/c22c1a22-8b9e-471d-92fc-f0394656ec98.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/d3sw7jd8wcootbg58jrv.jpg",400,d3sw7jd8wcootbg58jrv,Brewery,London,"The micro-brewery that brought life (and some zingy pizzas) to Hackney Wick remains is remains open for delivery, and they're even offering 10% off",n/a,n/a,Order by 2pm for next day delivery,https://www.flavourly.com/crate-brewery/,FALSE,online,online,,FALSE,n/a,n/a,n/a,https://www.instagram.com/cratebrewery/?hl=en,16000,02085333331,,TRUE,,TRUE,FALSE,,,,"Unit 7 Queen's Yard, Hackney Wick, London E9 5EN",E9 5EN,Hackney Wick,East London,,28/03/2020,"In 2012, CRATE’s founders Tom, Jess & Neil had an idea: to build a brewery in a restaurant, and to make the finest beer and pizza imaginable.

They found an old print factory, The White Building, on the banks of the Lee Navigational Canal, and invited the local Hackney Wick creative community to help them build what has gone on to become a mecca for the craft beer scene.",,,,,,,,,,FALSE,#REF!,FALSE,,,,
5,no,P.Franco,http://pfranco.co.uk/,https://dw96cc912fm1e.cloudfront.net/38635910-1c55-4d5d-ac5c-6c0ebe4a6851.png,,,,Wine,London,,Taking takeaway orders via Instagram,https://www.instagram.com/p/B-AP6__jwE3/,n/a,n/a,,,,,,n/a,n/a,n/a,https://www.instagram.com/p/B-AP6__jwE3/,,,,,,,,,,,,,Clapton,East London,,,,,,,,,,,,,,,,,,,
6,no,Peg,https://www.peglondon.co.uk/,https://dw96cc912fm1e.cloudfront.net/6dd5d0a2-3dde-4257-bdb5-ace4c2f5fa8b.png,,,,Restaurant,London,,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,,3774,,,,,,,,,,,,Hackney,East London,,,,,,,,,,,,,,,,,,,
7,yes,Bright,https://www.brightrestaurant.co.uk/,https://dw96cc912fm1e.cloudfront.net/f2b8301a-86cc-4e32-ad88-104f25122e55.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/zd2cl5nk2bnjirlbr3iz.jpg",400,zd2cl5nk2bnjirlbr3iz,Restaurant,London,Bright's menu of deliciously eclectic small plates is currently on a COVID hiatus but their wine selection (sourced from their sister stores Noble fine liquor and P Franco) is available via the link,,https://brightrestaurant.slerp.com/order/,Wines can be ordered online from Noble Fine Liquour; pick-up also available at selected times Mon - Fri,https://brightrestaurant.slerp.com/order/,FALSE,online,online,,FALSE,n/a,n/a,n/a,https://www.instagram.com/bright_restaurant/,25100,020 3095 9407,,FALSE,,TRUE,FALSE,,,,"1 Westgate St, Hackney, London E8 3RL",E8 3RL,London Fields,East London,,28/03/2020,,,,,,,,,,,FALSE,#REF!,TRUE,,,,
8,no,Esters,http://www.estersn16.com/,https://dw96cc912fm1e.cloudfront.net/edae5c3b-75f0-4136-97ac-e0d4be2b82a3.png,,,,Cafe,London,,WhatsApp 07578313575 for orders,n/a,Delivery Link,https://esters.selz.com/,,,,,,n/a,n/a,n/a,https://www.instagram.com/estersn16/,5744,,,,,,,,,,,,Stoke Newington,East London,,,"We brew the best coffee we can find from roasters we trust, tea from farms smaller than 15 acres and cook delicious brunches based on sourdough bread, organic eggs, seasonal produce & preserves. We like to experiment and make as much as we can in house and whatever we can't make comes from producers that aren't based too far away.",,,,,,,,,,,,,,,,
9,yes,The Beehive,https://www.thebeehivelondon.co.uk/,https://dw96cc912fm1e.cloudfront.net/996b5a72-11df-4a30-b284-6a3e1a0eae05.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/nyvcbwlbts0srtdmdrdf.jpg,400,nyvcbwlbts0srtdmdrdf,Cafe,London,,n/a,n/a,DM them on instagram. Can't find delivery information; seems to be open for takeaway coffee only,https://www.instagram.com/p/B-HV8TYHJYP/?utm_source=ig_web_copy_link,FALSE,tbc,tbc,,FALSE,n/a,n/a,https://letsflourish.co/collections/the-beehive,https://www.instagram.com/thebeehiveldn/,1424,n/a,,TRUE,,FALSE,FALSE,,,,"36 New N Rd, Hoxton, London N1 6TE",N1 6TE,Hackney,East London,,28/03/2020,,,,,,,,,,,FALSE,TRUE,FALSE,,,,
10,no,Angelina,http://www.angelina.london/,https://dw96cc912fm1e.cloudfront.net/d3b176fc-e8aa-4797-aa91-4660ddf31604.png,,,,Restaurant,London,,,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,,,,,,,,,,,,,Dalston,East London,,,,,,,,,,,,,,,,,,,
11,no,Noble Fine Liquor,https://www.noblefineliquor.co.uk/,https://dw96cc912fm1e.cloudfront.net/b6d2985a-3a8e-42df-9193-57a0076a8e25.png,,,,Wine,London,,n/a,n/a,n/a,n/a,,,,,,Web store,https://www.noblefineliquor.co.uk/,n/a,https://www.instagram.com/noblefineliquor/,8644,,,,,,,,,,,,London Fields,East London,,,"We created Noble Fine Liquor because the local bottle shop we wanted did not exist. We wanted a place that offers fine drinks for all occasions - humble wines for the everyday table, great wines for contemplation, and beer and cider for everything in between. A place where everything on offer is a product of human passion. Where the wine reflects a great sense of place, or terroir. Where we could enjoy regular tasting events, and a sense of community. We created Noble Fine Liquor to be that place. - CHANGED TO NO AS TEMPORARILY SHUT (AS OF 24.20)",,,,,,,,,,,,,,,,
12,yes,Berber & Q,https://www.berberandq.com/,https://dw96cc912fm1e.cloudfront.net/2d4583e8-7a52-4257-a246-f24e766d8986.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/sqab78h9pqyskpz0su9c.jpg,400,sqab78h9pqyskpz0su9c,Restaurant,London,"Berber & Q is now Berber & You, as the B&Q team have turned all their efforts to cooking for the real local heroes, the NHS.  Donate to this great cause today via the link below",n/a,n/a,No longer serving food to the public; just doing NHS cooking,n/a,FALSE,n/a,n/a,n/a,FALSE,NHS donations ,http://berberandyou.com/,n/a,https://www.instagram.com/berberandq/?hl=en,15200,02079230829,,FALSE,,FALSE,FALSE,,TRUE,http://berberandyou.com/,"338 Acton Mews, Haggerston, London E8 4EA",E8 4EA,Haggerston,East London,,,"Our menus take inspiration from pretty much anywhere we can find it, but with a bias towards the ingredients and flavours of the Middle East, North Africa and across the Ottoman. We favour vegetables as much as meat and fish, we like our wines natural and our cocktails kick ass. We cook over live fire because it makes food taste better. We love simple, honest cooking with loud colours and big, bold flavours.",,,,,,,TRUE,,,TRUE,TRUE,FALSE,,,,
13,yes,The Laughing Heart,http://thelaughingheartlondon.com/,https://dw96cc912fm1e.cloudfront.net/2869ef3b-a810-4673-91e1-640798b2bc5d.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/xvwq6y2jrlznmmzibdhy.jpg",400,xvwq6y2jrlznmmzibdhy,Restaurant,London,"LH are now bringing their foodie small plates and vast wine selection (now selling at retail prices) along with a range of charcuterie, cheese and other staples direct to your door ",,https://thelaughingheartlondon.slerp.com/,Now offering both takeaway and delivery services in real time or in advance. Delivery via slerp. Hot food available 6 - 10pm only but shop open midday 10pm every day,https://thelaughingheartlondon.slerp.com/,TRUE,Mon - Sun,1800 - 2200,,TRUE,Can buy vouchers from £50,https://thelaughingheartlondon.giftpro.co.uk/vouchers/gift-voucher/,n/a,https://www.instagram.com/thelaughingheart_london/,15400,02076869535,,TRUE,,TRUE,FALSE,TRUE,,,"277 Hackney Rd, Haggerston, London E2 8NA",E2 8NA,Haggerston,East London,,28/03/2020,"Head Chef Tom Anglesea serves a new take on contemporary British cuisine, utilising the finest produce available to offer dishes that draw inspiration in flavour from many parts of the world.",,,,,,,,,,TRUE,TRUE,TRUE,,,,
14,yes,Pophams,https://www.pophamsbakery.com/,https://dw96cc912fm1e.cloudfront.net/eb20381e-a1c1-4bc6-a8b6-7f3c7e87ba56.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/l3fmxafbppudcbtd2xu6.jpg,400,l3fmxafbppudcbtd2xu6,Bakery,London,,,https://www.instagram.com/pophamsbakery/,Weekly deliveries to local residents. Follow the link in their bio. Isn't clear if they are still open for takeaway.,https://www.instagram.com/pophamsbakery/,FALSE,online,online,1 mile (from both E8 3NJ and N1 8PF),TRUE,n/a,n/a,n/a,https://www.instagram.com/pophamsbakery/,48000,02085251416,,TRUE,,FALSE,FALSE,,,,"19 Prebend St, Islington, London N1 8PF",N1 8PF ,London Fields,East London,,28/03/2020,"We're an artisanal bakery using traditional techniques to create the most delicious, hand-crafted viennoiserie pastries and fresh pasta with a modern twist. Our wine is carefully selected from small, independent producers. ",,,,,,,TRUE,,,FALSE,TRUE,TRUE,,,,
15,no,Sager,,https://dw96cc912fm1e.cloudfront.net/10d73781-6cc7-4860-b80e-9e3032ee98c9.png,,,,,,,,,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,18400,,,,,,,,,,,,Bethnal Green,East London,,,,,,,,,,,,,,,,,,,
16,yes,Krapow,https://www.krapowldn.com/,https://dw96cc912fm1e.cloudfront.net/93d5c796-625c-4098-af7a-5d8ce5832261.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/vvkosxhk3ymsapxllijw.jpg",400,vvkosxhk3ymsapxllijw,Restaurant,London,This thai-inspired street food-vendor turned Clapton restaurant has is open for pick-up and takeaway.  Check out their moo ping pork was - voted London's favourite dish in 2017,,https://weborder.thegoodtill.com/krapow,In-store pick-up and online delivery via deliveroo,https://deliveroo.co.uk/menu/london/lower-clapton/krapow-ldn,TRUE,Tues - Thurs; Fri - Sat,1700 - 2230; 1700 - 1100,1.5 miles,TRUE,n/a,n/a,n/a,https://www.instagram.com/krapowldn,5918,02038589858,,TRUE,,TRUE,FALSE,,,,"62 Chatsworth Rd, Lower Clapton, London E5 0LS",E5 0LS,Clapton,East London,,28/03/2020,,,,,,,,,,,FALSE,TRUE,TRUE,,,,
17,yes,Newcomer Wines,https://www.newcomerwines.com/,https://dw96cc912fm1e.cloudfront.net/188f687a-4553-4a94-a0fb-f0b967ab5cca.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/abxlzzmxb1uwsx2ptdjk.jpg",400,abxlzzmxb1uwsx2ptdjk,Wine,London,"Wine shop by day, wine bar by night - this Dalston outfit has an excellently curated range of wines from across Europe including the largest selection of Austrian wine in London",n/a,n/a,Now offering wine delivered direct to your door anywhere in the UK (in store pick-up also available),https://newcomerwines.slerp.com/order/store/newcomer-wines-newcomer-wines,FALSE,online,online,TBC,FALSE,n/a,n/a,n/a,https://www.instagram.com/newcomer_wines,8669,02072492177,,FALSE,,TRUE,FALSE,,,,"5 Dalston Ln, Dalston, London E8 3DF",E8 3DF,Dalston,East London,,28/03/2020,,,,,,,,,,,FALSE,TRUE,FALSE,,,,
